gender,monthly_income,utility_bill_average,repayment_history_pct,employment_length,default_status
Non-Binary,47889,1351.0,100.0,< 1 year,0
Non-Binary,46193,2230.0,71.0,< 1 year,0
Female,62365,1762.0,87.0,1-3 years,0
Male,20804,1276.0,82.0,1-3 years,0
Female,45381,2176.0,42.0,1-3 years,1
Male,65917,2501.0,73.0,1-3 years,0
Male,69649,2393.0,76.0,< 1 year,0
Non-Binary,63988,,75.0,8+ years,0
Male,55063,2102.0,56.0,1-3 years,1
Female,38032,3221.0,73.0,1-3 years,0
Non-Binary,32534,5033.0,61.0,4-7 years,1
Female,43366,4084.0,,8+ years,0
Non-Binary,59956,2564.0,71.0,4-7 years,0
Female,25280,2208.0,65.0,< 1 year,1
Female,35567,3980.0,56.0,< 1 year,1
Male,49856,2094.0,74.0,< 1 year,0
Non-Binary,69510,1066.0,75.0,< 1 year,0
Non-Binary,57309,4014.0,100.0,1-3 years,0
Non-Binary,60742,,,1-3 years,0
Male,36191,2770.0,39.0,8+ years,1
Female,34228,2179.0,53.0,8+ years,0
Non-Binary,46230,1420.0,95.0,4-7 years,0
Non-Binary,41927,2036.0,62.0,4-7 years,0
Non-Binary,35694,2670.0,59.0,1-3 years,1
Female,38688,2483.0,100.0,1-3 years,0
Female,52414,946.0,57.0,< 1 year,0
Non-Binary,35696,2780.0,54.0,8+ years,0
Male,48600,1995.0,97.0,1-3 years,0
Female,69855,3069.0,76.0,< 1 year,0
Male,57150,3104.0,51.0,8+ years,0
Male,44677,1176.0,99.0,< 1 year,0
Non-Binary,44526,3308.0,43.0,8+ years,1
Female,30876,,80.0,4-7 years,0
Non-Binary,47125,3456.0,51.0,8+ years,1
Female,62722,2183.0,82.0,1-3 years,0
Male,44546,2935.0,,4-7 years,0
Non-Binary,68777,1506.0,100.0,8+ years,0
Male,38512,3383.0,86.0,4-7 years,0
Male,43824,5226.0,68.0,< 1 year,1
Male,15000,2737.0,93.0,4-7 years,0
Non-Binary,55369,2226.0,90.0,4-7 years,0
Male,47182,3352.0,59.0,1-3 years,0
Female,50470,1145.0,82.0,1-3 years,0
Non-Binary,61703,4210.0,89.0,< 1 year,0
Male,40185,,39.0,1-3 years,1
Non-Binary,42060,2373.0,68.0,< 1 year,0
Female,63811,3217.0,65.0,1-3 years,0
Non-Binary,75739,2567.0,68.0,1-3 years,0
Non-Binary,52992,,58.0,< 1 year,0
Male,75287,2696.0,51.0,4-7 years,1
Male,20987,,71.0,< 1 year,0
Non-Binary,42715,2136.0,84.0,8+ years,0
Male,44259,2842.0,74.0,< 1 year,0
Female,35163,2982.0,61.0,< 1 year,1
Female,59464,3727.0,100.0,< 1 year,0
Female,38588,2660.0,100.0,4-7 years,0
Female,38717,1899.0,67.0,1-3 years,0
Female,65088,2673.0,94.0,8+ years,1
Non-Binary,47520,2154.0,57.0,4-7 years,1
Male,38380,2778.0,85.0,< 1 year,0
Female,52238,2957.0,50.0,8+ years,1
Non-Binary,59186,1562.0,94.0,< 1 year,0
Non-Binary,87082,714.0,,1-3 years,0
Male,47251,2332.0,59.0,8+ years,1
Female,48028,3606.0,30.0,< 1 year,0
Female,38145,1473.0,80.0,1-3 years,0
Male,37147,1189.0,72.0,8+ years,0
Male,32877,2621.0,47.0,< 1 year,0
Non-Binary,21974,2870.0,88.0,1-3 years,0
Male,58758,,73.0,1-3 years,0
Non-Binary,42067,1520.0,81.0,1-3 years,0
Non-Binary,34973,1806.0,79.0,4-7 years,0
Female,19324,,85.0,1-3 years,0
Female,23423,1716.0,76.0,4-7 years,0
Female,43278,2414.0,86.0,8+ years,0
Male,37254,1649.0,89.0,8+ years,0
Male,52444,2260.0,100.0,1-3 years,0
Non-Binary,36690,1847.0,66.0,< 1 year,0
Male,66987,2845.0,72.0,8+ years,0
Male,64097,3138.0,,< 1 year,1
Male,49711,2389.0,61.0,4-7 years,0
Non-Binary,54623,,53.0,< 1 year,1
Female,53705,2520.0,92.0,< 1 year,0
Female,60086,3894.0,68.0,4-7 years,0
Male,27101,2700.0,92.0,4-7 years,0
Male,38748,2546.0,100.0,< 1 year,0
Female,43210,2285.0,62.0,4-7 years,0
Female,35734,2171.0,91.0,< 1 year,0
Male,35187,,100.0,1-3 years,0
Non-Binary,54117,,73.0,8+ years,0
Female,40357,2041.0,60.0,8+ years,1
Female,42555,2040.0,100.0,8+ years,0
Non-Binary,43964,2965.0,48.0,1-3 years,0
Male,55373,2546.0,72.0,8+ years,0
Male,38323,3628.0,60.0,4-7 years,1
Female,49825,2644.0,70.0,8+ years,1
Female,44315,2754.0,86.0,1-3 years,0
Female,42346,2644.0,95.0,4-7 years,0
Non-Binary,41359,2480.0,86.0,4-7 years,0
Female,53341,2512.0,47.0,< 1 year,1
Non-Binary,44189,2494.0,,8+ years,0
Non-Binary,35614,2605.0,100.0,8+ years,0
Female,54233,2380.0,89.0,< 1 year,0
Non-Binary,49852,1664.0,61.0,< 1 year,0
Non-Binary,38096,,34.0,1-3 years,1
Non-Binary,70690,2899.0,52.0,< 1 year,0
Male,28267,2184.0,69.0,< 1 year,0
Female,58778,3847.0,70.0,8+ years,0
Male,53640,3123.0,59.0,8+ years,0
Male,44384,2280.0,66.0,1-3 years,0
Female,41658,2859.0,75.0,8+ years,0
Non-Binary,43442,2116.0,65.0,< 1 year,0
Female,39251,4663.0,100.0,8+ years,0
Female,41520,,51.0,8+ years,0
Male,38990,2076.0,40.0,< 1 year,1
Male,60869,1741.0,100.0,< 1 year,0
Female,39553,2718.0,48.0,8+ years,0
Male,70906,3841.0,56.0,8+ years,1
Female,56260,3010.0,65.0,< 1 year,0
Female,59067,2955.0,80.0,4-7 years,0
Non-Binary,59625,2773.0,95.0,8+ years,0
Male,49875,2690.0,76.0,8+ years,0
Male,27824,4161.0,58.0,4-7 years,1
Female,59065,2821.0,86.0,< 1 year,0
Non-Binary,38241,969.0,63.0,1-3 years,1
Female,37625,,47.0,1-3 years,1
Non-Binary,34027,3299.0,89.0,1-3 years,0
Female,59949,,63.0,< 1 year,0
Non-Binary,47696,3402.0,100.0,8+ years,0
Male,56010,3529.0,90.0,4-7 years,1
Female,26918,2194.0,80.0,8+ years,0
Male,60521,3238.0,77.0,< 1 year,0
Male,47978,1556.0,88.0,< 1 year,0
Non-Binary,21247,,84.0,8+ years,0
Female,49350,2988.0,100.0,4-7 years,0
Non-Binary,56399,1114.0,,1-3 years,0
Male,45996,2283.0,61.0,1-3 years,0
Male,15377,2026.0,60.0,4-7 years,0
Female,51685,2043.0,27.0,< 1 year,1
Female,51671,2252.0,91.0,8+ years,0
Female,23344,2999.0,88.0,1-3 years,0
Non-Binary,69428,,100.0,4-7 years,0
Male,71002,2692.0,63.0,< 1 year,0
Male,68573,2348.0,92.0,8+ years,0
Female,30213,2655.0,75.0,4-7 years,0
Male,26671,3127.0,93.0,1-3 years,0
Female,50486,965.0,64.0,8+ years,0
Female,42195,3360.0,96.0,8+ years,0
Non-Binary,27271,2593.0,43.0,1-3 years,1
Non-Binary,48307,2409.0,100.0,8+ years,0
Female,46059,2925.0,46.0,8+ years,0
Male,62337,2383.0,73.0,1-3 years,0
Male,53695,2109.0,64.0,1-3 years,0
Female,61534,4106.0,100.0,4-7 years,0
Male,32151,2424.0,68.0,1-3 years,0
Female,46612,500.0,63.0,1-3 years,0
Female,61885,2743.0,80.0,4-7 years,0
Male,66029,2073.0,70.0,8+ years,0
Female,38207,2119.0,65.0,< 1 year,0
Female,52752,2886.0,,1-3 years,0
Non-Binary,40478,1646.0,62.0,8+ years,0
Non-Binary,33144,2279.0,100.0,< 1 year,0
Male,44418,1992.0,52.0,1-3 years,1
Non-Binary,61935,4202.0,22.0,1-3 years,1
Female,30171,3663.0,28.0,1-3 years,0
Non-Binary,72879,3164.0,,8+ years,0
Male,69403,2425.0,66.0,4-7 years,0
Male,52927,,100.0,1-3 years,0
Non-Binary,47047,1812.0,58.0,< 1 year,0
Female,42585,3562.0,80.0,4-7 years,0
Male,50880,500.0,67.0,4-7 years,0
Female,48255,3258.0,,< 1 year,0
Non-Binary,72291,2942.0,,8+ years,0
Non-Binary,70374,1707.0,52.0,8+ years,1
Female,51215,2424.0,87.0,8+ years,0
Female,54254,3630.0,69.0,4-7 years,0
Non-Binary,42250,2074.0,100.0,8+ years,1
Non-Binary,51580,2570.0,58.0,4-7 years,1
Male,41095,3299.0,69.0,1-3 years,0
Female,54555,2290.0,58.0,8+ years,1
Female,53931,2494.0,91.0,1-3 years,0
Non-Binary,48146,,43.0,1-3 years,0
Non-Binary,61920,1674.0,29.0,8+ years,0
Female,16943,2884.0,78.0,4-7 years,0
Non-Binary,41013,1721.0,100.0,8+ years,0
Non-Binary,74151,1922.0,76.0,4-7 years,0
Non-Binary,15000,2549.0,58.0,< 1 year,1
Male,70419,,76.0,< 1 year,0
Male,46364,1803.0,83.0,< 1 year,0
Non-Binary,55345,2555.0,69.0,8+ years,1
Male,59167,3377.0,100.0,8+ years,1
Non-Binary,55330,,68.0,< 1 year,1
Non-Binary,36172,3803.0,71.0,8+ years,0
Non-Binary,38158,2498.0,87.0,< 1 year,0
Non-Binary,49370,3406.0,58.0,4-7 years,0
Female,42504,3112.0,15.0,1-3 years,0
Male,71913,2993.0,85.0,8+ years,0
Non-Binary,47192,3616.0,53.0,8+ years,0
Male,74116,1716.0,86.0,1-3 years,0
Female,56166,2749.0,100.0,< 1 year,0
Female,42674,2524.0,21.0,8+ years,0
Female,35966,3148.0,69.0,8+ years,0
Male,60988,3846.0,68.0,4-7 years,0
Male,44669,2274.0,66.0,4-7 years,0
Female,53863,3005.0,,4-7 years,0
Female,15000,2282.0,70.0,8+ years,0
Non-Binary,62038,2922.0,74.0,1-3 years,0
Male,35820,2708.0,93.0,8+ years,0
Male,29884,,,< 1 year,1
Male,52020,1837.0,,1-3 years,0
Female,46005,,80.0,4-7 years,0
Female,29490,2169.0,82.0,1-3 years,1
Non-Binary,62368,,55.0,8+ years,1
Male,55126,710.0,100.0,8+ years,0
Male,51701,3093.0,64.0,8+ years,0
Male,66259,1759.0,68.0,8+ years,0
Male,82458,,89.0,8+ years,0
Non-Binary,67465,3199.0,69.0,1-3 years,0
Female,49335,2754.0,53.0,4-7 years,1
Non-Binary,40237,500.0,80.0,1-3 years,0
Female,54582,2536.0,72.0,1-3 years,1
Male,43829,3532.0,77.0,1-3 years,0
Non-Binary,38814,3507.0,100.0,< 1 year,0
Non-Binary,72846,2373.0,65.0,8+ years,0
Non-Binary,53260,1216.0,67.0,4-7 years,0
Non-Binary,34449,3042.0,73.0,1-3 years,0
Female,41299,2044.0,37.0,1-3 years,1
Male,61157,2630.0,19.0,< 1 year,1
Male,78886,2036.0,,8+ years,0
Male,79393,1773.0,64.0,1-3 years,0
Male,41056,500.0,96.0,< 1 year,0
Non-Binary,57673,2565.0,55.0,8+ years,1
Male,88338,2855.0,99.0,1-3 years,0
Female,45982,2760.0,100.0,4-7 years,0
Male,37807,2482.0,68.0,1-3 years,0
Non-Binary,74870,,81.0,1-3 years,0
Female,44588,2382.0,,1-3 years,1
Non-Binary,33415,1919.0,53.0,1-3 years,1
Non-Binary,74649,3066.0,90.0,8+ years,0
Female,25942,4213.0,61.0,< 1 year,1
Female,41855,3268.0,35.0,< 1 year,1
Male,70232,1521.0,78.0,< 1 year,0
Non-Binary,59815,3475.0,100.0,< 1 year,0
Male,37675,1015.0,87.0,8+ years,0
Non-Binary,88756,2559.0,64.0,< 1 year,0
Male,68657,1484.0,65.0,1-3 years,0
Female,34678,1943.0,80.0,4-7 years,0
Male,45358,1995.0,55.0,< 1 year,0
Male,50469,2877.0,,8+ years,0
Female,44901,2545.0,,1-3 years,0
Female,29433,3493.0,100.0,< 1 year,0
Female,37659,2682.0,91.0,< 1 year,0
Female,33597,3188.0,75.0,< 1 year,1
Female,63390,1412.0,64.0,< 1 year,0
Male,72075,3684.0,67.0,8+ years,0
Female,37401,2080.0,66.0,4-7 years,0
Non-Binary,48894,1945.0,41.0,8+ years,1
Male,43247,1553.0,87.0,1-3 years,0
Female,59438,3433.0,89.0,< 1 year,0
Male,59644,2882.0,65.0,< 1 year,0
Male,55301,2176.0,98.0,4-7 years,0
Female,59511,2759.0,77.0,8+ years,0
Non-Binary,43689,,97.0,< 1 year,0
Male,46619,2099.0,71.0,4-7 years,0
Male,52578,1562.0,89.0,1-3 years,0
Non-Binary,26679,2692.0,92.0,< 1 year,0
Non-Binary,50806,2208.0,77.0,< 1 year,0
Non-Binary,33874,1968.0,60.0,1-3 years,1
Male,59894,,59.0,4-7 years,0
Male,35931,1201.0,79.0,1-3 years,0
Male,54790,3127.0,100.0,4-7 years,0
Male,37346,2602.0,86.0,1-3 years,0
Male,62557,2013.0,58.0,1-3 years,0
Female,31610,,51.0,4-7 years,1
Female,39903,3114.0,83.0,1-3 years,1
Male,44435,2557.0,79.0,4-7 years,0
Non-Binary,44510,2411.0,100.0,4-7 years,0
Female,38846,1953.0,81.0,8+ years,0
Female,40474,2800.0,53.0,8+ years,1
Male,30811,2742.0,,4-7 years,0
Male,43286,2149.0,100.0,1-3 years,0
Non-Binary,52939,2859.0,69.0,4-7 years,0
Female,32861,2329.0,80.0,< 1 year,0
Non-Binary,41007,3027.0,100.0,4-7 years,0
Male,63331,3330.0,95.0,1-3 years,0
Non-Binary,64496,2229.0,77.0,8+ years,0
Female,39952,2834.0,94.0,8+ years,1
Female,53562,2838.0,71.0,4-7 years,0
Female,45666,1904.0,100.0,< 1 year,0
Non-Binary,68609,2451.0,66.0,8+ years,0
Female,41838,2565.0,36.0,1-3 years,1
Non-Binary,55691,2817.0,79.0,4-7 years,0
Female,51190,2392.0,35.0,< 1 year,1
Female,42786,3042.0,100.0,1-3 years,0
Male,43832,3345.0,81.0,4-7 years,0
Non-Binary,75896,1669.0,74.0,8+ years,0
Female,33272,1944.0,55.0,4-7 years,0
Female,33746,1946.0,100.0,< 1 year,0
Male,58373,3587.0,,1-3 years,0
Female,38174,2603.0,60.0,8+ years,0
Male,49428,1643.0,27.0,4-7 years,1
Male,79061,2252.0,90.0,< 1 year,0
Male,20133,3478.0,43.0,4-7 years,1
Female,50522,3856.0,69.0,1-3 years,0
Female,61378,,88.0,< 1 year,0
Male,47364,2565.0,100.0,4-7 years,0
Non-Binary,32575,2202.0,87.0,< 1 year,0
Non-Binary,45598,2749.0,85.0,4-7 years,0
Male,60835,2085.0,81.0,8+ years,0
Non-Binary,24225,2062.0,72.0,4-7 years,0
Male,70808,1771.0,59.0,< 1 year,0
Female,54726,4083.0,100.0,4-7 years,0
Non-Binary,53455,3059.0,76.0,1-3 years,0
Non-Binary,49750,3043.0,52.0,1-3 years,1
Male,47337,,89.0,4-7 years,0
Non-Binary,82086,3510.0,78.0,< 1 year,0
Non-Binary,59612,,80.0,8+ years,0
Non-Binary,68161,3472.0,29.0,8+ years,1
Female,37808,2401.0,54.0,4-7 years,1
Male,84551,,77.0,1-3 years,0
Male,57455,,93.0,8+ years,0
Female,47729,1662.0,100.0,< 1 year,0
Female,39651,2246.0,53.0,8+ years,1
Male,35728,1775.0,77.0,< 1 year,0
Female,63497,869.0,100.0,1-3 years,0
Non-Binary,63925,3394.0,74.0,4-7 years,0
Non-Binary,53259,1978.0,77.0,8+ years,0
Male,53104,1872.0,83.0,< 1 year,0
Female,42223,2257.0,87.0,< 1 year,0
Non-Binary,24039,3550.0,65.0,< 1 year,1
Female,49062,1885.0,100.0,4-7 years,0
Male,52441,4010.0,100.0,8+ years,0
Male,61313,2475.0,66.0,< 1 year,0
Female,48589,2258.0,49.0,< 1 year,1
Male,70058,4386.0,74.0,8+ years,0
Male,44063,2325.0,72.0,8+ years,1
Non-Binary,41762,2183.0,58.0,4-7 years,1
Female,43241,2994.0,42.0,4-7 years,1
Female,44711,2318.0,53.0,8+ years,0
Male,50481,2370.0,39.0,4-7 years,1
Female,57105,2769.0,64.0,< 1 year,0
Female,32040,2142.0,100.0,4-7 years,0
Non-Binary,58955,2359.0,66.0,8+ years,0
Female,38874,,76.0,< 1 year,1
Female,61491,,79.0,< 1 year,0
Male,71164,2669.0,94.0,1-3 years,0
Male,35975,3132.0,83.0,< 1 year,0
Male,56346,1854.0,74.0,< 1 year,0
Female,52335,2947.0,93.0,8+ years,1
Male,55518,2980.0,,1-3 years,0
Male,42273,3516.0,54.0,1-3 years,1
Non-Binary,72304,2500.0,76.0,4-7 years,0
Non-Binary,40486,,60.0,< 1 year,1
Non-Binary,73644,2442.0,,< 1 year,1
Female,48064,2657.0,89.0,< 1 year,0
Male,36263,,,< 1 year,0
Female,25005,3952.0,82.0,< 1 year,0
Female,51057,1959.0,78.0,4-7 years,0
Non-Binary,44299,2670.0,100.0,8+ years,0
Female,62408,3112.0,88.0,1-3 years,0
Male,27866,2155.0,73.0,8+ years,0
Male,49254,1945.0,67.0,1-3 years,0
Female,57733,2604.0,100.0,1-3 years,0
Non-Binary,66500,3705.0,44.0,8+ years,1
Non-Binary,46727,2375.0,82.0,8+ years,0
Non-Binary,37769,,76.0,< 1 year,0
Non-Binary,65444,2495.0,48.0,1-3 years,0
Non-Binary,27839,2808.0,73.0,8+ years,0
Non-Binary,49652,2592.0,65.0,8+ years,0
Female,46347,,82.0,4-7 years,0
Non-Binary,50507,940.0,84.0,8+ years,0
Male,39060,2587.0,98.0,< 1 year,0
Female,62167,2286.0,64.0,4-7 years,0
Non-Binary,58071,1837.0,71.0,< 1 year,0
Female,39491,3016.0,99.0,1-3 years,0
Non-Binary,54574,,44.0,1-3 years,0
Non-Binary,77434,2366.0,72.0,< 1 year,0
Male,59268,3333.0,84.0,8+ years,0
Male,43868,,79.0,1-3 years,0
Male,42622,2276.0,96.0,1-3 years,0
Female,33112,2421.0,73.0,8+ years,0
Male,35631,,82.0,8+ years,1
Male,31546,,100.0,4-7 years,0
Male,62992,2976.0,97.0,4-7 years,0
Female,27115,4302.0,100.0,8+ years,0
Non-Binary,87220,2987.0,95.0,1-3 years,0
Non-Binary,52666,2019.0,67.0,< 1 year,0
Male,25471,1679.0,68.0,1-3 years,1
Female,53727,2666.0,25.0,8+ years,1
Female,60829,2624.0,44.0,1-3 years,1
Female,29981,1171.0,67.0,1-3 years,0
Male,49200,1819.0,93.0,4-7 years,0
Female,42346,1771.0,82.0,1-3 years,0
Non-Binary,78008,3521.0,36.0,4-7 years,1
Non-Binary,39970,2911.0,77.0,< 1 year,0
Male,49229,2931.0,61.0,8+ years,0
Male,18337,2366.0,100.0,< 1 year,0
Male,63262,925.0,100.0,< 1 year,0
Female,50854,3103.0,60.0,1-3 years,1
Female,38363,2740.0,79.0,< 1 year,0
Female,65930,2943.0,,8+ years,0
Female,28047,1943.0,100.0,4-7 years,0
Male,57367,2552.0,96.0,< 1 year,1
Female,41806,1305.0,54.0,8+ years,0
Male,62618,2781.0,35.0,1-3 years,1
Female,47819,2750.0,97.0,8+ years,0
Non-Binary,35519,2764.0,78.0,4-7 years,0
Male,66787,1369.0,80.0,8+ years,0
Female,65592,1386.0,65.0,4-7 years,1
Male,63705,1679.0,100.0,< 1 year,0
Non-Binary,59492,3854.0,85.0,8+ years,0
Non-Binary,76362,2250.0,55.0,8+ years,1
Male,41766,2233.0,72.0,4-7 years,0
Male,71352,3562.0,71.0,8+ years,0
Male,46108,1867.0,40.0,4-7 years,0
Non-Binary,50248,2847.0,100.0,8+ years,1
Non-Binary,54996,3022.0,64.0,8+ years,0
Male,30624,1342.0,58.0,< 1 year,1
Non-Binary,67193,1966.0,46.0,1-3 years,1
Male,77531,2379.0,59.0,1-3 years,0
Male,52378,2282.0,77.0,< 1 year,0
Male,34284,2099.0,77.0,4-7 years,0
Male,62323,,100.0,< 1 year,0
Non-Binary,62267,,62.0,< 1 year,0
Female,37887,2938.0,,1-3 years,0
Non-Binary,47415,,51.0,8+ years,1
Female,22942,2524.0,51.0,8+ years,0
Male,44645,,54.0,1-3 years,1
Non-Binary,67381,3444.0,56.0,4-7 years,0
Female,24315,3184.0,60.0,1-3 years,0
Male,46388,2314.0,76.0,1-3 years,0
Female,50345,,66.0,4-7 years,0
Non-Binary,58183,1407.0,73.0,4-7 years,0
Non-Binary,44836,,,< 1 year,0
Male,73166,3313.0,39.0,1-3 years,1
Non-Binary,86556,2931.0,43.0,8+ years,0
Non-Binary,41109,2370.0,68.0,4-7 years,1
Non-Binary,42641,1842.0,67.0,1-3 years,0
Male,57540,1552.0,98.0,4-7 years,0
Non-Binary,36140,2373.0,77.0,< 1 year,0
Male,64921,2143.0,67.0,1-3 years,0
Female,46042,3400.0,73.0,8+ years,0
Male,51546,4291.0,,< 1 year,0
Non-Binary,34354,1976.0,89.0,8+ years,0
Female,57363,,62.0,4-7 years,0
Male,70693,2301.0,26.0,1-3 years,1
Female,45979,,100.0,< 1 year,0
Male,37866,3997.0,100.0,< 1 year,0
Non-Binary,61868,3750.0,82.0,4-7 years,0
Female,55423,,93.0,< 1 year,0
Female,51547,3336.0,83.0,1-3 years,0
Female,46936,2296.0,64.0,< 1 year,0
Male,41990,1595.0,51.0,< 1 year,1
Non-Binary,75433,2373.0,79.0,4-7 years,0
Male,56099,1758.0,95.0,1-3 years,0
Male,69048,3575.0,84.0,< 1 year,0
Male,70493,2790.0,95.0,4-7 years,0
Non-Binary,40967,3297.0,70.0,4-7 years,0
Female,41030,3529.0,52.0,8+ years,1
Non-Binary,72242,1734.0,83.0,4-7 years,1
Non-Binary,39557,2872.0,59.0,4-7 years,0
Non-Binary,46685,4267.0,97.0,8+ years,0
Female,53483,2652.0,80.0,4-7 years,0
Female,33052,,82.0,< 1 year,0
Female,40198,1624.0,100.0,4-7 years,1
Non-Binary,39691,1070.0,90.0,4-7 years,0
Non-Binary,51613,679.0,81.0,8+ years,0
Male,49217,3377.0,75.0,4-7 years,0
Non-Binary,52437,1304.0,81.0,< 1 year,0
Male,37905,,71.0,8+ years,0
Male,46713,3996.0,74.0,1-3 years,0
Female,42914,2117.0,63.0,8+ years,0
Male,47347,3259.0,46.0,1-3 years,0
Non-Binary,76514,2260.0,,8+ years,0
Female,40105,2909.0,37.0,1-3 years,0
Non-Binary,44351,3500.0,100.0,< 1 year,0
Male,69498,2878.0,100.0,8+ years,0
Non-Binary,43222,2813.0,87.0,< 1 year,0
Female,33063,2740.0,73.0,8+ years,0
Non-Binary,24647,1499.0,71.0,1-3 years,0
Female,49244,2574.0,47.0,4-7 years,0
Female,56269,2026.0,58.0,8+ years,0
Non-Binary,64733,3768.0,90.0,8+ years,0
Female,33905,3247.0,65.0,4-7 years,1
Male,51952,4145.0,100.0,< 1 year,0
Non-Binary,41135,3297.0,42.0,4-7 years,1
Non-Binary,60478,2940.0,50.0,< 1 year,1
Female,28926,,40.0,8+ years,1
Non-Binary,75993,2531.0,87.0,4-7 years,0
Female,47634,2605.0,86.0,< 1 year,0
Male,44613,1225.0,56.0,8+ years,0
Non-Binary,30992,3698.0,61.0,1-3 years,1
Female,56846,4307.0,,1-3 years,0
Non-Binary,72030,2354.0,89.0,4-7 years,0
Non-Binary,25562,3315.0,68.0,1-3 years,1
Female,37745,3191.0,57.0,8+ years,1
Female,55622,,100.0,< 1 year,0
Female,51986,2399.0,55.0,< 1 year,1
Female,38324,,96.0,< 1 year,0
Male,46639,3015.0,100.0,4-7 years,0
Non-Binary,47560,1966.0,35.0,< 1 year,0
Male,47419,725.0,59.0,8+ years,0
Female,31328,2429.0,100.0,< 1 year,1
Female,34557,,100.0,4-7 years,0
Non-Binary,76271,1949.0,100.0,< 1 year,0
Male,38931,2018.0,85.0,4-7 years,0
Male,40568,1190.0,71.0,4-7 years,0
Female,33814,,98.0,1-3 years,0
Male,57614,,,4-7 years,0
Male,29295,2701.0,75.0,1-3 years,0
Female,33798,1761.0,92.0,< 1 year,0
Female,44984,3001.0,78.0,1-3 years,0
Male,76028,2009.0,69.0,8+ years,0
Female,52611,1488.0,93.0,1-3 years,0
Non-Binary,32489,2256.0,79.0,8+ years,0
Female,50719,3225.0,78.0,8+ years,0
Male,34005,2812.0,46.0,4-7 years,1
Female,46321,1591.0,100.0,4-7 years,0
Male,41480,1650.0,100.0,8+ years,0
Non-Binary,45272,3218.0,81.0,4-7 years,0
Non-Binary,54103,1294.0,61.0,1-3 years,0
Non-Binary,68986,3497.0,98.0,1-3 years,0
Female,42034,,43.0,1-3 years,1
Female,45335,1651.0,50.0,1-3 years,1
Female,29668,2837.0,51.0,4-7 years,1
Male,51181,2197.0,49.0,4-7 years,0
Non-Binary,47497,2185.0,76.0,8+ years,0
Non-Binary,44731,,94.0,1-3 years,0
Female,33767,1763.0,90.0,8+ years,0
Male,73248,2497.0,55.0,1-3 years,0
Non-Binary,37633,2774.0,54.0,8+ years,0
Non-Binary,39371,2160.0,89.0,4-7 years,0
Non-Binary,34808,1959.0,63.0,4-7 years,1
Female,55503,2345.0,66.0,4-7 years,0
Female,29134,2739.0,100.0,8+ years,0
Female,44389,1764.0,37.0,8+ years,1
Female,47123,3938.0,100.0,< 1 year,0
Non-Binary,57392,561.0,90.0,< 1 year,0
Female,38047,,74.0,< 1 year,0
Male,53504,1310.0,70.0,4-7 years,0
Male,35555,2382.0,62.0,4-7 years,1
Male,60534,1369.0,100.0,4-7 years,0
Male,70066,1764.0,61.0,8+ years,0
Male,21967,,72.0,8+ years,0
Non-Binary,53416,2727.0,67.0,< 1 year,0
Female,27058,1589.0,84.0,8+ years,0
Male,34575,2272.0,69.0,< 1 year,0
Male,36197,2393.0,61.0,4-7 years,1
Non-Binary,39075,2062.0,34.0,< 1 year,1
Female,38854,,72.0,< 1 year,0
Female,47323,2207.0,32.0,8+ years,1
Non-Binary,64543,2881.0,55.0,4-7 years,1
Male,39876,2921.0,52.0,< 1 year,1
Non-Binary,55964,,81.0,< 1 year,0
Non-Binary,39832,2005.0,51.0,1-3 years,1
Non-Binary,41292,2737.0,64.0,1-3 years,0
Non-Binary,66529,3265.0,56.0,8+ years,0
Male,28512,2751.0,61.0,1-3 years,1
Non-Binary,30907,3512.0,52.0,1-3 years,0
Female,31170,1920.0,67.0,4-7 years,0
Non-Binary,50913,,100.0,< 1 year,0
Female,39634,3743.0,78.0,1-3 years,0
Male,82379,3680.0,88.0,< 1 year,0
Male,42783,2364.0,57.0,1-3 years,0
Non-Binary,46344,2502.0,95.0,< 1 year,0
Non-Binary,55561,1696.0,100.0,< 1 year,0
Male,52952,2260.0,73.0,1-3 years,0
Male,63745,2385.0,51.0,8+ years,1
Male,77060,2829.0,71.0,8+ years,0
Female,27853,2626.0,65.0,< 1 year,1
Male,59609,2157.0,67.0,4-7 years,0
Female,64954,3484.0,9.0,8+ years,1
Male,69351,,67.0,1-3 years,0
Non-Binary,41800,1598.0,47.0,4-7 years,0
Non-Binary,36394,2597.0,89.0,8+ years,0
Non-Binary,60337,2446.0,48.0,< 1 year,1
Female,50933,,52.0,1-3 years,1
Non-Binary,46579,,78.0,< 1 year,0
Male,52300,2388.0,56.0,1-3 years,1
Non-Binary,36424,1635.0,39.0,1-3 years,0
Male,41207,2862.0,83.0,1-3 years,0
Female,41003,1121.0,59.0,8+ years,0
Female,39459,3480.0,81.0,4-7 years,0
Non-Binary,45323,807.0,100.0,< 1 year,0
Non-Binary,63023,,100.0,8+ years,0
Female,38886,1937.0,93.0,4-7 years,0
Female,42842,621.0,,8+ years,1
Non-Binary,58183,2801.0,98.0,< 1 year,0
Female,61657,3392.0,67.0,8+ years,0
Female,66178,2447.0,53.0,1-3 years,1
Male,46232,2345.0,47.0,4-7 years,0
Female,25548,3317.0,39.0,< 1 year,1
Non-Binary,28810,,46.0,8+ years,0
Male,78400,2552.0,95.0,4-7 years,0
Male,63804,2387.0,,8+ years,1
Male,41880,2636.0,,4-7 years,0
Male,40094,1511.0,67.0,8+ years,0
Non-Binary,29323,4265.0,70.0,8+ years,1
